name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;1023;0;1000;3071;1842;3071;1563;0
header;228;147;228;192;1865;192;1865;147
A;1033;213;1033;237;1053;237;1053;213
A;1190;493;1190;497;1195;497;1195;493
A;1379;539;1379;546;1385;546;1385;539
B;1029;879;1029;907;1052;907;1052;879
A;1271;910;1271;912;1272;912;1272;910
A;1366;1238;1366;1242;1400;1242;1400;1238
C;1024;1549;1024;1577;1046;1577;1046;1549
A;1220;1611;1220;1615;1254;1615;1254;1611
A;1304;1902;1304;1903;1308;1903;1308;1902
B;1499;1946;1499;1972;1535;1972;1535;1946
D;1024;2219;1024;2244;1044;2244;1044;2219
A;1510;2414;1510;2419;1516;2419;1516;2414
