name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;224;0;464;3077;1085;3077;1062;0
header;226;149;226;183;1851;183;1851;149
A;1026;211;1026;237;1044;237;1044;211
A;1017;810;1017;811;1018;811;1018;810
A;1057;866;1057;867;1058;867;1058;866
B;1033;876;1033;905;1057;905;1057;876
A;503;1159;503;1159;503;1159;503;1159
A;357;1359;357;1360;358;1360;358;1359
C;1034;1541;1034;1568;1054;1568;1054;1541
A;790;1576;790;1580;792;1580;792;1576
A;891;1749;891;1751;893;1751;893;1749
A;983;1930;983;1932;985;1932;985;1930
A;415;1975;415;2001;434;2001;434;1975
D;1034;2214;1034;2242;1060;2242;1060;2214
A;637;2245;637;2245;637;2245;637;2245
A;698;2376;698;2377;701;2377;701;2376
B;907;2429;907;2445;931;2445;931;2429
B;588;2431;588;2446;610;2446;610;2431
A;821;2686;821;2686;822;2686;822;2686
